,Mean,SD,SE,Min,Max
Onset_Time,0.5695749606945532,0.06496066544958143,0.01575527559759035,0.4112903225806452,0.6975476839237057
Timestamp,0.9062433554573833,0.1170191222467082,0.02838130595530843,0.6081632653061224,1.0
Text,0.7954761229337081,0.10242776204145593,0.024842381287797293,0.55858310626703,0.9298642533936652
Language,0.7961364623870683,0.1651381894447788,0.04005189399435779,0.2997275204359673,0.9411764705882353
Speaker,0.39202206202212203,0.06875109254815419,0.01667458920309735,0.24081632653061225,0.48258706467661694
